"","mean","sd","2.5%","25%","50%","75%","97.5%"
"mu[1]",55.0958489126108,0.0880843973827622,54.9221550062428,55.0342834400136,55.0947308612756,55.156946555683,55.2679385046916
"mu[2]",55.0379294358134,0.802335002448189,53.5193189864827,54.4872562906144,55.030124829079,55.6042571076772,56.5657087395765
"mu[3]",55.0025700783839,1.06411175542085,52.8694537561422,54.3307250146709,55.0311561602698,55.696232313598,57.044486703938
"mu[4]",54.9648551330261,1.27846044843419,52.3294848052569,54.1288779141528,54.9831170385763,55.7804984087923,57.5468158070236
"mu[5]",54.9075920051536,1.44029248129799,52.1816292229112,53.8720321211645,54.9122579913655,55.8628907815036,57.7081051553412
"mu[6]",54.8102810914893,1.55395703598054,51.7976234534629,53.7212452092638,54.7710432365842,55.8308027695227,57.8422530580317
"mu[7]",54.7365094454971,1.61426288896359,51.6480105695626,53.6854843161528,54.7645749743189,55.8608186635604,57.8397606761955
"mu[8]",54.6960322866474,1.68217651046671,51.2876866974776,53.5355953484322,54.6729708246605,55.8806586591973,57.8963080101119
"mu[9]",54.6251926278898,1.71159272762758,51.2013144740381,53.4445062804485,54.5980929574348,55.8689539733567,57.7634503356412
"mu[10]",54.5676839114458,1.70159152658546,51.2039399740821,53.4234642100262,54.6361257571341,55.7568292711133,57.8060334395917
"mu[11]",54.5195575200587,1.60323003634457,51.460968313089,53.4289153530943,54.5448972133914,55.6322340678256,57.5001860547301
"mu[12]",54.4788818625649,1.49561123147401,51.6939825095173,53.4089740422196,54.491038118622,55.4785566361811,57.4193942027575
"mu[13]",54.3370002663755,1.57249008065169,51.3857331950575,53.2634126427723,54.3251384084109,55.4407988706903,57.3914878707947
"mu[14]",54.2020361461797,1.57284173569097,50.9968791893498,53.118923345284,54.2837116111208,55.2247343654016,57.3008797803164
"mu[15]",54.0250464482459,1.52057743411501,51.011855523916,52.9462804331107,54.1134379927344,54.9485634245149,57.1890993826587
"mu[16]",53.8877125436954,1.50298280224868,50.9957392200666,52.8719950316122,53.9158846967635,54.8923055479104,56.736082486524
"mu[17]",53.7002678222873,1.44539551457608,50.8609212480144,52.7120377708926,53.7164427431309,54.6175787090656,56.5306592094101
"mu[18]",53.5772239462984,1.40792265281261,50.7934346335932,52.6909782070881,53.5774734638295,54.4956907432835,56.2934791390016
"mu[19]",53.4267797158244,1.34012330026012,50.7533985469504,52.552274884906,53.4189316998357,54.3424681680002,55.992542337383
"mu[20]",53.2230105659665,1.21189473829037,50.7048382062328,52.4323046072811,53.2292291011118,54.0349352063832,55.4292480144696
"mu[21]",53.1342740754537,1.16897830219639,50.7764708552712,52.3088804551783,53.2071165266966,53.8889762520915,55.3368766799446
"mu[22]",53.0659036433522,1.05557561541639,50.9519107618644,52.3559272858974,53.1251334743073,53.8092217820694,54.9576994969448
"mu[23]",52.9453558692942,0.791920824858887,51.2542536451452,52.4619464093723,52.9621683015525,53.5139775947442,54.3914510640849
"mu[24]",52.899508366348,0.0938081362742002,52.7217776831102,52.8367360723247,52.9002486090924,52.9607269065433,53.0865420301557
"lp__",64.8702354890846,3.47489577858955,56.9637030375709,62.8214014252315,65.254979279909,67.2146364651805,70.7879140756862
